Date,Y,ft1,ft11
1963-01-22,1.093694,84864.0,0.446347775
1963-01-23,1.09892,258336.0,0.42810152
1963-01-24,1.09892,131040.0,0.424160413
1963-01-25,1.100662,157248.0,0.425509196
1963-01-28,1.104144,207168.0,0.391759608
1963-01-29,1.104144,92352.0,0.385446293
1963-01-30,1.081503,156000.0,0.386129314
1963-01-31,1.090211,136032.0,0.383643252
1963-02-01,1.086729,99840.0,0.37370141
1963-02-04,1.081503,188448.0,0.369106531
1963-02-05,1.084988,180960.0,0.378447736
1963-02-06,1.088471,151008.0,0.370021086
1963-02-07,1.093694,133536.0,0.392048936
1963-02-08,1.095436,157248.0,0.391477853
1963-02-11,1.091953,172224.0,0.360782377
1963-02-12,1.090211,141024.0,0.365466462
1963-02-13,1.100662,242112.0,0.393314203
1963-02-14,1.090211,116064.0,0.429737345
1963-02-15,1.100662,127296.0,0.421751428
1963-02-18,1.097179,167232.0,0.420006988
1963-02-19,1.079763,118560.0,0.422882546
1963-02-20,1.05538,217152.0,0.42425436
1963-02-21,1.069314,190944.0,0.418005382
1963-02-25,1.048413,172224.0,0.413932756
1963-02-26,1.043189,153504.0,0.40514293
1963-02-27,1.039706,82368.0,0.375408943
1963-02-28,1.013583,239616.0,0.3884848
1963-03-01,1.02055,165984.0,0.390070294
1963-03-04,1.018808,138528.0,0.402556543
1963-03-05,1.0101,137280.0,0.396245029
1963-03-06,1.024032,139776.0,0.39388838
1963-03-07,1.030999,190944.0,0.363920576
1963-03-08,1.03274,141024.0,0.379589814
1963-03-11,1.04493,139776.0,0.360218294
1963-03-12,1.044931,159744.0,0.378735133
1963-03-13,1.046685,127296.0,0.352131603
1963-03-14,1.025645,136032.0,0.352935668
1963-03-15,1.032658,126048.0,0.363359125
1963-03-18,1.013373,102336.0,0.373759132
1963-03-19,1.018633,103584.0,0.356983264
1963-03-20,1.025645,141024.0,0.339656466
1963-03-21,1.023892,174720.0,0.353321059
1963-03-22,1.027399,121056.0,0.36655069
1963-03-25,1.027399,177216.0,0.360531487
1963-03-26,1.034411,165984.0,0.352970226
1963-03-27,1.036165,180960.0,0.340908886
1963-03-28,1.044931,184704.0,0.339939562
1963-03-29,1.046685,162240.0,0.353758067
1963-04-01,1.044931,142272.0,0.349987058
1963-04-02,1.025645,244608.0,0.339028376
1963-04-03,1.044931,182208.0,0.378879432
1963-04-04,1.048438,199680.0,0.378362502
1963-04-05,1.07649,348192.0,0.370092329
1963-04-08,1.07649,185952.0,0.370847946
1963-04-09,1.072983,187200.0,0.358891661
1963-04-10,1.072983,156000.0,0.376274094
1963-04-11,1.06597,215904.0,0.383821532
1963-04-15,1.083502,248352.0,0.395411002
1963-04-16,1.088761,180960.0,0.375051732
1963-04-17,1.095776,302016.0,0.362245503
1963-04-18,1.090515,147264.0,0.350062627
1963-04-19,1.090515,99840.0,0.356319346
1963-04-22,1.090515,178464.0,0.345087298
1963-04-23,1.122074,748800.0,0.34166878
1963-04-24,1.118568,381888.0,0.350934392
1963-04-25,1.111554,187200.0,0.35918215
1963-04-26,1.108048,194688.0,0.349155762
1963-04-29,1.106295,153504.0,0.34932727
1963-04-30,1.104542,168480.0,0.364759242
1963-05-01,1.123827,524160.0,0.340428073
1963-05-02,1.132593,315744.0,0.361613837
1963-05-03,1.127334,219648.0,0.376669913
1963-05-06,1.134346,228384.0,0.338003085
1963-05-07,1.13084,229632.0,0.366290098
1963-05-08,1.150126,350688.0,0.338993715
1963-05-09,1.157139,234624.0,0.367088537
1963-05-10,1.146619,203424.0,0.329383514
1963-05-13,1.144865,189696.0,0.313379949
1963-05-14,1.137852,209664.0,0.330025971
1963-05-15,1.148372,212160.0,0.331934842
1963-05-16,1.144865,179712.0,0.355322476
1963-05-17,1.150126,114816.0,0.386387669
1963-05-20,1.139606,141024.0,0.398081354
1963-05-21,1.146619,119808.0,0.398925508
1963-05-22,1.143113,121056.0,0.388781779
1963-05-23,1.151879,174720.0,0.379062069
1963-05-24,1.162398,283296.0,0.395347419
1963-05-27,1.160645,178464.0,0.378487316
1963-05-28,1.162398,142272.0,0.354337626
1963-05-29,1.164151,169728.0,0.365820614
1963-05-31,1.178178,245856.0,0.387873145
1963-06-03,1.171163,122304.0,0.370282505
1963-06-04,1.167659,134784.0,0.38732861
1963-06-05,1.150126,202176.0,0.391205585
1963-06-06,1.150126,111072.0,0.357199257
1963-06-07,1.157139,133536.0,0.353008339
1963-06-10,1.148372,153504.0,0.36847108
1963-06-11,1.14136,121056.0,0.385514511
1963-06-12,1.150126,173472.0,0.378531603
1963-06-13,1.14136,116064.0,0.39521344
1963-06-14,1.139606,92352.0,0.396008557
1963-06-17,1.116814,174720.0,0.39063515
1963-06-18,1.129164,169728.0,0.409514168
1963-06-19,1.137987,156000.0,0.402642201
1963-06-20,1.145043,219648.0,0.386083763
1963-06-21,1.148572,128544.0,0.36025254
1963-06-24,1.1521,101088.0,0.373233425
1963-06-25,1.146807,114816.0,0.369501596
1963-06-26,1.123871,146016.0,0.356481371
1963-06-27,1.100935,224640.0,0.357153992
1963-06-28,1.11505,159744.0,0.345355036
1963-07-01,1.109756,114816.0,0.339373364
1963-07-02,1.123871,138528.0,0.323045427
1963-07-03,1.137987,148512.0,0.320962373
1963-07-05,1.136221,87360.0,0.303770374
1963-07-08,1.132693,88608.0,0.308720509
1963-07-09,1.136221,146016.0,0.311723844
1963-07-10,1.127401,153504.0,0.331285619
1963-07-11,1.125636,118560.0,0.312914834
1963-07-12,1.118578,126048.0,0.31576545
1963-07-15,1.107992,79872.0,0.322709894
1963-07-16,1.11505,174720.0,0.326893917
1963-07-17,1.118578,163488.0,0.29677658
1963-07-18,1.11505,82368.0,0.302366374
1963-07-19,1.106228,109824.0,0.280374623
1963-07-22,1.097406,117312.0,0.290352298
1963-07-23,1.081527,213408.0,0.313939243
1963-07-24,1.092113,205920.0,0.322640307
1963-07-25,1.079763,158496.0,0.335613644
1963-07-26,1.085056,148512.0,0.326307325
1963-07-29,1.081527,107328.0,0.342727773
1963-07-30,1.099171,138528.0,0.356291221
1963-07-31,1.1027,178464.0,0.357539693
1963-08-01,1.107992,94848.0,0.354908758
1963-08-02,1.111522,83616.0,0.352088996
1963-08-05,1.120342,97344.0,0.331200757
1963-08-06,1.132693,137280.0,0.341771607
1963-08-07,1.122107,124800.0,0.323359082
1963-08-08,1.118578,114816.0,0.294580827
1963-08-09,1.129164,157248.0,0.290588486
1963-08-12,1.130929,124800.0,0.304383086
1963-08-13,1.148572,183456.0,0.30356429
1963-08-14,1.155629,174720.0,0.314842203
1963-08-15,1.153865,219648.0,0.313082487
1963-08-16,1.153865,117312.0,0.333881313
1963-08-19,1.150336,121056.0,0.3423154
1963-08-20,1.145043,127296.0,0.336485368
1963-08-21,1.150336,112320.0,0.395823941
1963-08-22,1.145043,86112.0,0.408544998
1963-08-23,1.148572,96096.0,0.407841954
1963-08-26,1.143278,94848.0,0.419401992
1963-08-27,1.125636,106080.0,0.450141718
1963-08-28,1.143278,113568.0,0.444958553
1963-08-29,1.141515,113568.0,0.451850742
1963-08-30,1.150336,92352.0,0.416241482
1963-09-03,1.157393,188448.0,0.396385986
1963-09-04,1.13975,184704.0,0.400677073
1963-09-05,1.153865,143520.0,0.402252442
1963-09-06,1.1521,280800.0,0.394226613
1963-09-09,1.146807,224640.0,0.393868947
1963-09-10,1.150336,160992.0,0.410426335
1963-09-11,1.159158,244608.0,0.412173094
1963-09-12,1.180459,333216.0,0.431598236
1963-09-13,1.180459,228384.0,0.447801493
1963-09-16,1.162708,132288.0,0.440912494
1963-09-17,1.166258,192192.0,0.407889565
1963-09-18,1.159157,164736.0,0.402433011
1963-09-19,1.178684,212160.0,0.396947317
1963-09-20,1.171584,227136.0,0.381400772
1963-09-23,1.162708,152256.0,0.377043178
1963-09-24,1.164483,98592.0,0.379176988
1963-09-25,1.157383,168480.0,0.398093895
1963-09-26,1.130756,177216.0,0.380003321
1963-09-27,1.13253,142272.0,0.375500067
1963-09-30,1.127205,121056.0,0.390639255
1963-10-01,1.136081,141024.0,0.345208389
1963-10-02,1.13253,93600.0,0.351909269
1963-10-03,1.136081,66144.0,0.342680773
1963-10-04,1.141406,188448.0,0.316229936
1963-10-07,1.11833,126048.0,0.352998799
1963-10-08,1.11833,127296.0,0.350634259
1963-10-09,1.107679,116064.0,0.332226735
1963-10-10,1.102353,162240.0,0.297429609
1963-10-11,1.114779,168480.0,0.28872905
1963-10-14,1.113003,122304.0,0.283418483
1963-10-15,1.11833,141024.0,0.285405711
1963-10-16,1.134307,119808.0,0.281872254
1963-10-17,1.148507,258336.0,0.32447351
1963-10-18,1.146732,218400.0,0.311356844
1963-10-21,1.153833,167232.0,0.316780901
1963-10-22,1.137856,159744.0,0.321136534
1963-10-23,1.146732,109824.0,0.304036685
1963-10-24,1.146732,101088.0,0.292265644
1963-10-25,1.141406,127296.0,0.293310833
1963-10-28,1.178684,429312.0,0.287766619
1963-10-29,1.203537,707616.0,0.267020618
1963-10-30,1.180459,438048.0,0.26949238
1963-10-31,1.189334,190944.0,0.263711865
1963-11-01,1.171584,167232.0,0.212991127
1963-11-04,1.164483,153504.0,0.227886077
1963-11-06,1.153833,158496.0,0.252798591
1963-11-07,1.137856,114816.0,0.261449519
1963-11-08,1.153833,134784.0,0.27245804
1963-11-11,1.160933,88608.0,0.258107311
1963-11-12,1.155607,86112.0,0.269997958
1963-11-13,1.139631,118560.0,0.273234022
1963-11-14,1.144958,121056.0,0.280150937
1963-11-15,1.134307,189696.0,0.27647295
1963-11-18,1.109455,151008.0,0.280168973
1963-11-19,1.114779,113568.0,0.245422675
1963-11-20,1.12898,137280.0,0.248419617
1963-11-21,1.109455,195936.0,0.267729479
1963-11-22,1.0704,275808.0,0.267763879
1963-11-26,1.12898,331968.0,0.253500031
1963-11-27,1.123655,169728.0,0.246361001
1963-11-29,1.171584,378144.0,0.250578159
1963-12-02,1.178684,289536.0,0.243851154
1963-12-03,1.168034,265824.0,0.25624122
1963-12-04,1.169808,143520.0,0.243652972
1963-12-05,1.180459,263328.0,0.240291496
1963-12-06,1.180459,349440.0,0.202755348
1963-12-09,1.175133,228384.0,0.225370192
1963-12-10,1.193718,210912.0,0.219424192
1963-12-11,1.19908,199680.0,0.246983525
1963-12-12,1.215162,383136.0,0.241895029
1963-12-13,1.222311,388128.0,0.231368536
1963-12-16,1.222311,264576.0,0.264306782
1963-12-17,1.220524,199680.0,0.275415678
1963-12-18,1.209801,234624.0,0.283680429
1963-12-19,1.200866,147264.0,0.254073807
1963-12-20,1.195505,124800.0,0.229841222
1963-12-23,1.182996,134784.0,0.217316359
1963-12-24,1.191932,116064.0,0.196537401
1963-12-26,1.200866,87360.0,0.21242179
1963-12-27,1.204441,121056.0,0.231737638
1963-12-30,1.225884,173472.0,0.230630615
1963-12-31,1.245542,272064.0,0.21087496
1964-01-02,1.24018,188448.0,0.207025997
1964-01-03,1.229459,136032.0,0.234180612
1964-01-06,1.222311,185952.0,0.221267884
1964-01-07,1.236607,213408.0,0.223614349
1964-01-08,1.249116,172224.0,0.219325116
1964-01-09,1.245542,137280.0,0.208232376
1964-01-10,1.241967,138528.0,0.180253102
1964-01-13,1.21695,189696.0,0.165562684
1964-01-14,1.220524,175968.0,0.15083904
1964-01-15,1.220524,133536.0,0.166161321
1964-01-16,1.213376,149760.0,0.162302116
1964-01-17,1.21695,160992.0,0.198583251
1964-01-20,1.211589,124800.0,0.18862511
1964-01-21,1.21695,101088.0,0.178561717
1964-01-22,1.215162,185952.0,0.203097964
1964-01-23,1.225884,217152.0,0.206639046
1964-01-24,1.224097,116064.0,0.242403857
1964-01-27,1.231245,182208.0,0.24926713
1964-01-28,1.225884,168480.0,0.257770743
1964-01-29,1.229459,154752.0,0.26022558
1964-01-30,1.241967,220896.0,0.260349835
1964-01-31,1.256264,255840.0,0.253214169
1964-02-03,1.268772,348192.0,0.281108663
1964-02-04,1.2652,136032.0,0.263550358
1964-02-05,1.256264,148512.0,0.255655436
1964-02-06,1.256264,148512.0,0.244916682
1964-02-07,1.258051,168480.0,0.245948987
1964-02-10,1.25269,143520.0,0.254757521
1964-02-11,1.266985,194688.0,0.241644076
