Date,Y,ft1,ft2,ft3,ft4,ft5,ft6,ft7,ft8,ft9,ft10,ft11,ft12,ft13,ft14,ft15
1987-12-28,11.712948,2085096.0,1.100911663,0.000692592,-0.051778908,-0.00149905,0.000474993,7.51e-05,0.013066864,0.007787399,0.007352373,1.482230047,0.015801676,0.010998832,0.050781874,-0.020677214
1987-12-29,11.54981,1731600.0,-0.16953464,0.000842573,-0.527473895,-0.002357668,0.003902887,-0.015740298,6e-05,0.009589933,0.009517514,1.44419121,0.02344348,-0.015520168,0.02371171,-0.006993762
1987-12-30,11.778202,1993680.0,0.151351351,-0.001296069,-0.000398203,0.004440528,-0.003915933,-0.052540549,0.012723483,0.009384397,0.007687086,1.449476468,0.03312295,-0.022910962,-0.001662173,-0.012667857
1987-12-31,11.517191,2152488.0,0.079655712,-0.00013155,0.188265732,-0.000105683,-0.000830771,0.013269817,0.002370317,0.011165876,0.000398676,1.463393587,-0.012292636,0.007139836,0.013561664,0.005136867
1988-01-04,12.137091,2837952.0,0.31845195,-0.001318872,0.117520735,-0.004338098,0.00028911,0.022752176,0.043646604,0.000438861,0.007130651,1.475654307,-0.013251426,-0.029626178,-0.029000946,0.017036659
1988-01-05,12.202347,2430636.0,-0.143524626,0.000328873,0.089683363,0.00230525,-0.000861744,0.007006505,0.012763449,0.038867044,0.002427014,1.47440016,0.049124559,-0.005537112,-0.002649355,0.01302024
1988-01-06,12.267599,2100540.0,-0.135806431,0.000723432,0.089800423,0.003166702,0.001195084,0.016203278,0.00144261,0.066930326,0.034420435,1.449749038,0.001257178,0.014662864,-0.00505738,-0.003558362
1988-01-07,12.332854,2290704.0,0.090531006,0.000531852,0.170979699,0.005495474,0.001496099,-0.005983378,0.017693012,0.014012178,0.019560671,1.480962273,-0.007436269,0.0168277,-0.01487956,-0.000682128
1988-01-08,11.321429,3055884.0,0.334037047,0.001147364,-0.173340419,0.017915646,-0.006188102,0.025241923,0.00230873,0.006691919,0.058381238,1.498384561,0.026586567,-0.006999915,-0.022356406,0.0034258
1988-01-11,11.54981,3646968.0,0.193424881,-0.000156147,-0.388825451,0.008975397,-0.003762309,0.008781746,0.004072579,0.018975641,0.062331087,1.54747089,-0.00254311,-0.025055374,-0.010428905,-0.035895895
